GPSS, TCI, SP, SE, CP, EL
1.0,1.26446546399,2.00254768522,3.06863911229,3.12043122593,5.09131596735
1.0,1.4959605695,1.08713395478,1.49592729363,1.74875442522,3.22250492065
1.00039558679,1.0,1.08447194077,2.68152995046,2.68153918792,26.1496134474
1.08775605211,1.00000006398,1.00000004832,1.0,1.37384217446,1.59059417624
1.0,1.06129170147,1.07571710666,1.0141274067,1.01404754506,1.48551219063
1.09515674607,1.0,1.60541936976,1.53060124321,1.63148305146,5.76803255894
1.55187992139,1.0,1.0188746309,1.00000004845,1.5219160229,2.39660126715
1.0,1.24108444278,1.25529476558,1.48703246755,1.48703255867,2.42518049517
1.0,1.06342553156,1.08274903161,1.30072392395,1.29276016685,2.84305529191
1.0,1.10129324697,1.06462086058,1.13871310683,1.27409895676,39.2742884795
1.08007836496,1.0,1.35576976487,2.32899677446,2.81876591091,3.13819692895
1.0,1.1995706109,1.75551386273,1.79091520422,1.79100115938,1.92775834134
1.0,1.02754598801,1.02782054241,1.02780780231,1.02045088531,2.24369117252
