GPSS, SP-bic, TCI, SP-nll, CP, SE
2.09984003433,1.0,1.44247220275,2.56987521198,4.79548822207,4.73185471686
1.26208527832,1.20570017832,1.03058781382,1.11926478665,1.0334232911,1.0
1.0,1.32006906835,1.28784862773,1.19354492818,1.7383557734,1.74049438692
1.18156123663,2.99847294739,2.99829826327,1.71674857796,1.0,2.99937969682
1.00097501494,1.02719794446,1.0,1.04144901588,1.34889157797,1.34903551868
1.0,1.66898957665,1.05651917597,1.54891774538,2.05899869876,2.01739629498
1.0,11.0351754338,1.79826751662,33.4129041766,3.53884846779,1.79832535379
1.88425569176,1.0,2.30718955792,2.24118940149,3.12895648827,3.12894557006
1.35115425567,1.06365048219,1.0,1.94184784984,2.0742562131,1.911282538
1.01276516041,1.0,1.26276654931,1.00849193115,1.57814953279,1.13024534
2.24439973326,3.95543307706,2.47604024492,1.0,1.83751295254,1.89407848288
1.0,1.53992142936,1.55648037434,1.56520248841,1.84293217821,1.84698458779
1.28254616352,1.16633753438,1.0,1.01341245783,1.8724239512,1.01404779089
