ABCD acc,ABCD int,SP,TCI,MKL,EL,CP,SE,LN
1.04129239419,1.0,2.08523767362,1.31667827037,3.19535056814,5.30154859322,3.24928130215,4.86593266118,5.00714596692
1.0,1.26580424123,1.08713395478,1.4959605695,1.49592729363,3.22250492065,1.74875442522,2.74585602879,3.25758678551
1.0021906734,1.0,1.08641789204,1.00179437678,2.68634162553,26.1965357065,2.68635087957,7.93438391353,10.7397863391
1.08775605211,1.03571645682,1.00000004832,1.00000006398,1.0,1.59059417624,1.37384217446,1.32899195479,1.5498848841
1.0,1.06145246766,1.07571710666,1.06129170147,1.0141274067,1.48551219063,1.01404754506,1.06867315904,1.57902632608
1.49537580757,1.0,2.19211112488,1.36544454749,2.08995112192,7.87592860734,2.22769963693,6.19494461314,7.36398373429
1.55187992139,1.50470760953,1.0188746309,1.0,1.00000004845,2.39660126715,1.5219160229,1.22394423282,6.27928004492
1.0,1.29678704965,1.25529476558,1.24108444278,1.48703246755,2.42518049517,1.48703255867,2.30379638584,3.20056739202
1.0,1.09349997103,1.08274903161,1.06342553156,1.30072392395,2.84305529191,1.29276016685,2.809154542,3.79439212182
1.08378302616,1.0,1.15381801799,1.19356292789,1.23411793685,42.5648072186,1.38084682299,1.44752196099,2.70386734747
1.13385409438,1.0,1.42327181879,1.04978872938,2.44495456459,3.29444376657,2.95910868402,2.97006690943,3.39814354186
1.0,1.14773542988,1.75551386273,1.1995706109,1.79091520422,1.92775834134,1.79100115938,1.8085763004,1.86765227681
1.0,1.09812393356,1.02782054241,1.02754598801,1.02780780231,2.24369117252,1.02045088531,1.77277054766,9.96871937838
