1850.0416666667	0.799
1850.125	0.783
1850.2083333333	0.698
1850.2916666667	0.667
1850.375	0.67
1850.4583333333	0.601
1850.5416666667	0.662
1850.625	0.73
1850.7083333333	0.748
1850.7916666667	0.691
1850.875	0.598
1850.9583333333	0.613
1851.0416666667	0.808
1851.125	0.756
1851.2083333333	0.657
1851.2916666667	0.612
1851.375	0.62
1851.4583333333	0.59
1851.5416666667	0.667
1851.625	0.679
1851.7083333333	0.737
1851.7916666667	0.683
1851.875	0.658
1851.9583333333	0.644
1852.0416666667	0.829
1852.125	0.721
1852.2083333333	0.644
1852.2916666667	0.617
1852.375	0.62
1852.4583333333	0.567
1852.5416666667	0.63
1852.625	0.688
1852.7083333333	0.728
1852.7916666667	0.624
1852.875	0.579
1852.9583333333	0.651
1853.0416666667	0.727
1853.125	0.676
1853.2083333333	0.582
1853.2916666667	0.596
1853.375	0.618
1853.4583333333	0.539
1853.5416666667	0.628
1853.625	0.697
1853.7083333333	0.695
1853.7916666667	0.604
1853.875	0.557
1853.9583333333	0.592
1854.0416666667	0.7
1854.125	0.677
1854.2083333333	0.542
1854.2916666667	0.55
1854.375	0.58
1854.4583333333	0.489
1854.5416666667	0.571
1854.625	0.625
1854.7083333333	0.638
1854.7916666667	0.576
1854.875	0.539
1854.9583333333	0.623
1855.0416666667	0.746
1855.125	0.65
1855.2083333333	0.599
1855.2916666667	0.54
1855.375	0.542
1855.4583333333	0.493
1855.5416666667	0.507
1855.625	0.643
1855.7083333333	0.626
1855.7916666667	0.595
1855.875	0.569
1855.9583333333	0.672
1856.0416666667	0.857
1856.125	0.695
1856.2083333333	0.596
1856.2916666667	0.541
1856.375	0.543
1856.4583333333	0.503
1856.5416666667	0.56
1856.625	0.659
1856.7083333333	0.634
1856.7916666667	0.59
1856.875	0.52
1856.9583333333	0.605
1857.0416666667	0.735
1857.125	0.798
1857.2083333333	0.602
1857.2916666667	0.506
1857.375	0.528
1857.4583333333	0.48
1857.5416666667	0.513
1857.625	0.629
1857.7083333333	0.612
1857.7916666667	0.572
1857.875	0.562
1857.9583333333	0.656
1858.0416666667	0.757
1858.125	0.736
1858.2083333333	0.608
1858.2916666667	0.525
1858.375	0.542
1858.4583333333	0.529
1858.5416666667	0.527
1858.625	0.663
1858.7083333333	0.646
1858.7916666667	0.613
1858.875	0.592
1858.9583333333	0.659
1859.0416666667	0.853
1859.125	0.845
1859.2083333333	0.663
1859.2916666667	0.574
1859.375	0.569
1859.4583333333	0.546
1859.5416666667	0.56
1859.625	0.631
1859.7083333333	0.663
1859.7916666667	0.614
1859.875	0.656
1859.9583333333	0.704
1860.0416666667	0.848
1860.125	0.823
1860.2083333333	0.735
1860.2916666667	0.564
1860.375	0.595
1860.4583333333	0.564
1860.5416666667	0.537
1860.625	0.672
1860.7083333333	0.661
1860.7916666667	0.617
